cluster_id,centroid_lat,centroid_lon,nearest_osm_feature,distance_to_osm_m,nearest_osm_lat,nearest_osm_lon,osm_count_within_5km
58,21.750060970873783,83.81606980582524,Belpahar Coal Mine,1722.53,21.7599807,83.8288807,7
59,21.795168260869563,83.98869043478261,Unnamed industrial feature,569.4,21.7903212,83.9904691,4
60,21.71655705882353,84.04197607843136,Aryan Ispat,99.02,21.7156672,84.0420114,7
-1,21.43285,81.6831,Unnamed industrial feature,5961.12,21.3914025,81.6465778,0
-1,21.63292,82.06387,Unnamed industrial feature,4837.05,21.6318441,82.1106523,2
61,21.84184864864865,83.98129081081082,Unnamed industrial feature,198.08,21.8404249,83.9801374,3
62,21.750332408759125,83.97448262773722,Talabira Coal Mines,2083.62,21.7354835,83.9867878,2
-1,17.9847,80.82587,Manuguru IV Coal Mine,1108.35,17.9772015,80.8327743,3
63,22.019103653846155,83.33757769230769,Unnamed industrial feature,1692.99,22.0108781,83.3237578,8
-1,17.98233,80.82858,Manuguru IV Coal Mine,722.49,17.9772015,80.8327743,3
-1,17.77198,83.27007,Unnamed industrial feature,315.08,17.7743816,83.2716492,4
-1,18.36946,83.44485,Unnamed industrial feature,3033.24,18.3934381,83.4311441,1
-1,19.60629,82.27856,Unnamed industrial feature,10462.0,19.6695441,82.2046074,0
-1,17.98345,80.83025,Manuguru IV Coal Mine,744.33,17.9772015,80.8327743,3
64,21.384928,81.68829600000001,Unnamed industrial feature,1302.49,21.3748409,81.6819012,8
-1,22.48135,83.15923,Jampali coal mine,24612.94,22.2936528,83.2861197,0
-1,24.0247,82.77915,Rihand Thermal Power Station,1513.85,24.0280727,82.7935912,1
-1,24.02815,82.77844,Rihand Thermal Power Station,1538.77,24.0280727,82.7935912,1
-1,24.09934,82.63969,Unnamed industrial feature,2162.62,24.0973965,82.6608892,4
65,21.82144831578947,83.99539547368421,Unnamed industrial feature,62.6,21.8219423,83.9956863,5
-1,22.47299,83.1754,Jampali coal mine,22961.96,22.2936528,83.2861197,0
66,22.10708904761905,83.52368095238096,Unnamed industrial feature,194.64,22.1074947,83.521843,4
-1,18.17484,82.49543,Unnamed industrial feature,18039.05,18.1277594,82.6588073,0
-1,22.17249,83.50137,Unnamed industrial feature,396.54,22.1701379,83.4984755,4
-1,18.59727,83.21331,Unnamed industrial feature,5469.14,18.5842841,83.1632584,0
67,20.122306666666667,83.23021666666666,Unnamed industrial feature,345.93,20.1242341,83.2328175,8
-1,20.38575,83.34631,Unit 6,4635.77,20.3760248,83.3030623,1
-1,20.38645,83.35046,Unit 6,5074.62,20.3760248,83.3030623,0
103,20.392931666666662,83.35375666666667,Unit 6,5608.42,20.3760248,83.3030623,0
-1,20.41014,83.38441,Unit 6,9288.46,20.3760248,83.3030623,0
-1,20.55086,83.51109,Unnamed industrial feature,852.7,20.5568652,83.5059968,4
-1,20.55433,83.51043,Unnamed industrial feature,540.84,20.5568652,83.5059968,3
-1,20.55644,83.50159,Unnamed industrial feature,461.24,20.5568652,83.5059968,4
-1,20.55779,83.50978,Unnamed industrial feature,407.09,20.5568652,83.5059968,1
-1,20.56058,83.50504,Unnamed industrial feature,424.91,20.5568652,83.5059968,1
-1,20.97933,83.07407,Unnamed industrial feature,536.03,20.9812941,83.078785,4
-1,20.98004,83.07827,Unnamed industrial feature,149.35,20.9812941,83.078785,4
-1,20.98355,83.07758,Unnamed industrial feature,280.31,20.9812941,83.078785,4
-1,21.27264,83.04592,Unnamed industrial feature,4649.66,21.2539368,83.0057886,1
-1,22.06718,83.4352,Tamnar Power Station,4456.68,22.1047558,83.450249,1
-1,22.06994,83.43052,Tamnar Power Station,4372.58,22.1047558,83.450249,1
-1,22.0706,83.43454,Tamnar Power Station,4128.46,22.1047558,83.450249,1
-1,22.07193,83.44257,Tamnar Power Station,3734.83,22.1047558,83.450249,1
-1,22.07403,83.43389,Tamnar Power Station,3809.7,22.1047558,83.450249,1
-1,22.22488,82.99847,Unnamed industrial feature,18141.24,22.240107,82.822988,0
-1,23.69118,80.22902,Unnamed industrial feature,6323.97,23.6429664,80.2619558,0
-1,23.94655,80.71222,Unnamed industrial feature,9572.83,24.0226777,80.6682193,0
68,21.458989487179487,81.80049282051282,Unnamed industrial feature,2159.75,21.4714291,81.8165214,6
69,19.333853,83.42849100000001,Indian Metals & Ferro Alloys Limited,398.3,19.3324708,83.4319931,2
-1,19.77369,82.16122,Unnamed industrial feature,12439.17,19.6695441,82.2046074,0
-1,20.88781,81.47542,Unnamed industrial feature,21738.27,21.0434411,81.6021215,0
-1,23.6293,80.37038,Unnamed industrial feature,7192.54,23.6685715,80.3142696,0
-1,19.98971,81.92285,Unnamed industrial feature,46217.22,19.6695441,82.2046074,0
-1,23.67698,80.63922,Birla White Cement,1176.61,23.6803036,80.6501895,2
-1,21.29864,81.61449,Unnamed industrial feature,356.04,21.2954413,81.614644,13
-1,19.73168,82.23806,Unnamed industrial feature,7746.05,19.6695441,82.2046074,0
-1,21.74981,81.27442,Durg,23624.33,21.5385992,81.249682,0
-1,23.35483,80.16631,Unnamed industrial feature,978.22,23.361089,80.159576,3
-1,23.67101,80.6416,Birla White Cement,1353.9,23.6803036,80.6501895,2
-1,23.71981,80.23361,Unnamed industrial feature,9019.0,23.6429664,80.2619558,0
-1,23.75399,80.2718,Unnamed industrial feature,9097.31,23.6875006,80.323872,0
-1,23.85336,80.58932,Unnamed industrial feature,14491.16,23.7272598,80.5533617,0
