cluster_id,centroid_lat,centroid_lon
0,21.300193396226412,81.60587896226414
0,21.300193396226412,81.60587896226414
1,21.31082025423729,81.58985593220338
1,21.31082025423729,81.58985593220338
2,21.373370092879256,81.67946736842106
3,21.378662209302323,81.6453633139535
3,21.378662209302323,81.6453633139535
4,21.487905214285714,81.7680635
5,21.622910344827584,81.79291172413792
6,21.67398962962963,82.0801782962963
6,21.67398962962963,82.0801782962963
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
9,21.985090509554137,83.23279356687898
10,22.00540012605042,82.66913298319328
11,22.036216906187626,83.35584205588823
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
13,22.32849296460177,82.59804663716814
14,22.3315904,82.532178
13,22.32849296460177,82.59804663716814
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
16,24.05364717948718,80.61300282051282
-1,17.9528,80.75981
17,17.957685047619048,80.78900057142857
17,17.957685047619048,80.78900057142857
18,19.09990119914347,82.16705094218416
-1,18.56788,82.56406
19,21.19563582089552,81.4161876119403
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
19,21.19563582089552,81.4161876119403
19,21.19563582089552,81.4161876119403
20,21.802406739130436,82.03904565217391
12,22.31689644210526,82.53247810526317
13,22.32849296460177,82.59804663716814
13,22.32849296460177,82.59804663716814
7,22.35891150877193,82.30257733333333
21,17.968154615384613,83.15393615384616
-1,17.85728,83.18861
22,21.3235345,81.5779885
4,21.487905214285714,81.7680635
20,21.802406739130436,82.03904565217391
23,21.940006216216215,81.9812464864865
24,21.186550938416424,81.38758909090909
24,21.186550938416424,81.38758909090909
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
18,19.09990119914347,82.16705094218416
18,19.09990119914347,82.16705094218416
4,21.487905214285714,81.7680635
6,21.67398962962963,82.0801782962963
20,21.802406739130436,82.03904565217391
25,21.87683361445783,83.49469445783132
26,21.8794364,83.55273293333333
27,21.922663816666667,83.34778976666666
27,21.922663816666667,83.34778976666666
27,21.922663816666667,83.34778976666666
9,21.985090509554137,83.23279356687898
11,22.036216906187626,83.35584205588823
24,21.186550938416424,81.38758909090909
19,21.19563582089552,81.4161876119403
9,21.985090509554137,83.23279356687898
4,21.487905214285714,81.7680635
28,21.679071364902505,84.03850323119777
24,21.186550938416424,81.38758909090909
29,21.346804082840237,81.66660923076923
3,21.378662209302323,81.6453633139535
2,21.373370092879256,81.67946736842106
4,21.487905214285714,81.7680635
30,21.605545714285714,81.82321714285715
5,21.622910344827584,81.79291172413792
5,21.622910344827584,81.79291172413792
11,22.036216906187626,83.35584205588823
24,21.186550938416424,81.38758909090909
0,21.300193396226412,81.60587896226414
2,21.373370092879256,81.67946736842106
3,21.378662209302323,81.6453633139535
2,21.373370092879256,81.67946736842106
3,21.378662209302323,81.6453633139535
26,21.8794364,83.55273293333333
26,21.8794364,83.55273293333333
27,21.922663816666667,83.34778976666666
27,21.922663816666667,83.34778976666666
31,22.041284849007763,83.73296673856773
31,22.041284849007763,83.73296673856773
31,22.041284849007763,83.73296673856773
32,22.087874586466164,83.11691090225564
33,22.106850714285713,83.12439571428571
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
0,21.300193396226412,81.60587896226414
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
27,21.922663816666667,83.34778976666666
7,22.35891150877193,82.30257733333333
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
15,23.16639468335788,82.33858649484536
-1,21.00937,80.87962
24,21.186550938416424,81.38758909090909
24,21.186550938416424,81.38758909090909
24,21.186550938416424,81.38758909090909
24,21.186550938416424,81.38758909090909
34,21.190774642857143,81.198385
35,21.55944,81.75155795918367
5,21.622910344827584,81.79291172413792
36,21.631234444444445,82.11191888888888
6,21.67398962962963,82.0801782962963
37,21.73183189189189,82.21332324324325
10,22.00540012605042,82.66913298319328
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
12,22.31689644210526,82.53247810526317
13,22.32849296460177,82.59804663716814
7,22.35891150877193,82.30257733333333
7,22.35891150877193,82.30257733333333
18,19.09990119914347,82.16705094218416
7,22.35891150877193,82.30257733333333
20,21.802406739130436,82.03904565217391
20,21.802406739130436,82.03904565217391
17,17.957685047619048,80.78900057142857
21,17.968154615384613,83.15393615384616
38,18.54149380952381,83.34153904761904
18,19.09990119914347,82.16705094218416
18,19.09990119914347,82.16705094218416
18,19.09990119914347,82.16705094218416
18,19.09990119914347,82.16705094218416
17,17.957685047619048,80.78900057142857
39,21.763727131367293,84.02066849865952
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
40,21.971846,83.20014
10,22.00540012605042,82.66913298319328
41,22.066069607843136,83.70435509803923
42,21.50192851851852,81.80917481481482
17,17.957685047619048,80.78900057142857
7,22.35891150877193,82.30257733333333
17,17.957685047619048,80.78900057142857
17,17.957685047619048,80.78900057142857
18,19.09990119914347,82.16705094218416
-1,21.96473,83.7708
-1,18.08656,81.24291
28,21.679071364902505,84.03850323119777
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
8,21.748015486725663,83.84299966814159
27,21.922663816666667,83.34778976666666
7,22.35891150877193,82.30257733333333
24,21.186550938416424,81.38758909090909
24,21.186550938416424,81.38758909090909
24,21.186550938416424,81.38758909090909
24,21.186550938416424,81.38758909090909
-1,21.21967,81.39117
