latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime
21.92012,83.35038,323.09,0.42,0.45,n,2.0NRT,287.2,2.54,N,,2026-07-26 20:34:00
21.92421,83.35128,315.34,0.42,0.45,n,2.0NRT,287.16,2.54,N,,2026-07-26 20:34:00
21.92909,83.3482,305.23,0.42,0.45,n,2.0NRT,287.32,1.13,N,,2026-07-26 20:34:00
21.98553,83.23338,310.48,0.41,0.45,n,2.0NRT,286.18,3.39,N,,2026-07-26 20:34:00
22.03837,83.35002,306.53,0.42,0.45,n,2.0NRT,275.62,1.58,N,,2026-07-26 20:34:00
21.17994,81.38742,311.14,0.39,0.36,n,2.0NRT,267.46,1.06,N,,2026-07-27 20:14:00
21.19245,81.41615,317.16,0.39,0.36,n,2.0NRT,264.97,1.95,N,,2026-07-27 20:14:00
21.98697,83.23443,302.37,0.62,0.54,n,2.0NRT,284.21,2.67,N,,2026-07-29 19:38:00
21.48882,81.76712,299.05,0.77,0.77,n,2.0NRT,276.79,3.14,N,,2026-07-30 19:17:00
21.67924,84.03779,307.5,0.55,0.68,n,2.0NRT,282.62,2.59,N,,2026-07-30 19:17:00
21.18517,81.38824,304.69,0.41,0.61,n,2.0NRT,286.57,2.17,N,,2026-07-30 20:57:00
21.34743,81.66437,312.21,0.42,0.61,n,2.0NRT,287.19,1.86,N,,2026-07-30 20:57:00
21.37566,81.64246,304.1,0.42,0.61,n,2.0NRT,287.23,2.06,N,,2026-07-30 20:57:00
21.37869,81.68077,313.2,0.42,0.61,n,2.0NRT,286.99,1.87,N,,2026-07-30 20:57:00
21.48581,81.76941,307.16,0.43,0.62,n,2.0NRT,282.66,0.91,N,,2026-07-30 20:57:00
21.60441,81.8241,302.4,0.43,0.62,n,2.0NRT,287.0,0.69,N,,2026-07-30 20:57:00
21.6228,81.79496,301.17,0.43,0.62,n,2.0NRT,284.46,0.56,N,,2026-07-30 20:57:00
21.62412,81.79559,301.91,0.43,0.62,n,2.0NRT,285.1,0.92,N,,2026-07-30 20:57:00
22.03465,83.35381,298.45,0.52,0.67,n,2.0NRT,283.13,2.4,N,,2026-07-30 20:57:00
21.19254,81.38928,332.09,0.39,0.44,n,2.0NRT,293.59,6.48,D,,2026-07-31 08:09:00
21.29959,81.6083,308.64,0.42,0.45,n,2.0NRT,288.41,2.09,N,,2026-07-31 20:40:00
21.37249,81.68642,305.95,0.42,0.46,n,2.0NRT,288.44,3.11,N,,2026-07-31 20:40:00
21.37698,81.64162,307.25,0.42,0.45,n,2.0NRT,288.59,2.46,N,,2026-07-31 20:40:00
21.37817,81.67932,308.58,0.42,0.45,n,2.0NRT,288.18,2.43,N,,2026-07-31 20:40:00
21.38851,81.64832,307.23,0.42,0.45,n,2.0NRT,288.47,2.02,N,,2026-07-31 20:40:00
21.88009,83.55791,300.92,0.54,0.51,n,2.0NRT,285.5,2.23,N,,2026-07-31 20:40:00
21.88115,83.5528,300.8,0.54,0.51,n,2.0NRT,285.36,2.78,N,,2026-07-31 20:40:00
21.91835,83.3501,301.1,0.52,0.5,n,2.0NRT,282.71,1.84,N,,2026-07-31 20:40:00
21.92286,83.35115,317.63,0.52,0.5,n,2.0NRT,282.07,3.53,N,,2026-07-31 20:40:00
22.03915,83.73003,302.24,0.55,0.51,n,2.0NRT,284.55,2.88,N,,2026-07-31 20:40:00
22.04025,83.7248,301.55,0.55,0.51,n,2.0NRT,284.31,1.75,N,,2026-07-31 20:40:00
22.04485,83.72594,303.2,0.55,0.51,n,2.0NRT,283.68,1.17,N,,2026-07-31 20:40:00
22.08969,83.11682,302.24,0.5,0.49,n,2.0NRT,283.09,0.55,N,,2026-07-31 20:40:00
22.10646,83.12575,305.99,0.5,0.49,n,2.0NRT,283.47,1.99,N,,2026-07-31 20:40:00
22.31321,82.53134,304.28,0.46,0.47,n,2.0NRT,283.53,1.35,N,,2026-07-31 20:40:00
22.31901,82.5692,305.41,0.46,0.47,n,2.0NRT,283.62,1.72,N,,2026-07-31 20:40:00
22.35865,82.30376,333.77,0.44,0.46,n,2.0NRT,282.35,4.39,N,,2026-07-31 20:40:00
22.35949,82.29956,305.8,0.44,0.46,n,2.0NRT,281.78,1.81,N,,2026-07-31 20:40:00
21.29788,81.60934,330.83,0.39,0.36,n,2.0NRT,297.84,3.09,D,,2026-08-01 07:52:00
21.74177,83.84429,338.72,0.45,0.39,n,2.0NRT,295.37,5.46,D,,2026-08-01 07:52:00
21.74533,83.84377,348.35,0.45,0.39,n,2.0NRT,296.8,11.96,D,,2026-08-01 07:52:00
21.74889,83.84324,341.48,0.45,0.39,n,2.0NRT,295.53,11.96,D,,2026-08-01 07:52:00
21.75245,83.84271,333.3,0.45,0.39,n,2.0NRT,296.25,3.13,D,,2026-08-01 07:52:00
21.756,83.84217,334.59,0.45,0.39,n,2.0NRT,294.97,3.13,D,,2026-08-01 07:52:00
21.75659,83.8465,334.92,0.45,0.39,n,2.0NRT,293.73,3.13,D,,2026-08-01 07:52:00
21.91989,83.35123,343.28,0.43,0.38,n,2.0NRT,290.57,3.41,D,,2026-08-01 07:52:00
22.3573,82.3028,345.09,0.4,0.37,n,2.0NRT,297.43,8.32,D,,2026-08-01 07:52:00
23.16289,82.33456,295.63,0.4,0.37,n,2.0NRT,263.34,0.58,N,,2026-08-01 20:19:00
23.16494,82.3429,295.32,0.4,0.37,n,2.0NRT,259.84,0.96,N,,2026-08-01 20:19:00
23.16558,82.33907,309.5,0.4,0.37,n,2.0NRT,259.27,0.58,N,,2026-08-01 20:19:00
23.16828,82.34354,295.31,0.4,0.37,n,2.0NRT,254.62,0.59,N,,2026-08-01 20:19:00
21.00937,80.87962,303.97,0.39,0.36,n,2.0NRT,289.74,1.13,N,,2026-08-01 20:21:00
21.17946,81.38543,306.98,0.39,0.36,n,2.0NRT,290.86,1.7,N,,2026-08-01 20:21:00
21.18277,81.38604,323.77,0.39,0.36,n,2.0NRT,292.06,1.7,N,,2026-08-01 20:21:00
21.18547,81.39037,309.62,0.39,0.36,n,2.0NRT,291.01,1.15,N,,2026-08-01 20:21:00
21.18878,81.39098,312.27,0.39,0.36,n,2.0NRT,290.96,1.15,N,,2026-08-01 20:21:00
21.18909,81.20028,309.08,0.39,0.36,n,2.0NRT,290.5,0.81,N,,2026-08-01 20:21:00
21.56129,81.75552,308.68,0.39,0.36,n,2.0NRT,288.46,2.0,N,,2026-08-01 20:21:00
21.62338,81.79445,308.07,0.39,0.37,n,2.0NRT,288.51,1.77,N,,2026-08-01 20:21:00
21.63124,82.11251,304.85,0.4,0.37,n,2.0NRT,285.92,0.62,N,,2026-08-01 20:21:00
21.67444,82.08134,304.84,0.4,0.37,n,2.0NRT,285.07,0.76,N,,2026-08-01 20:21:00
21.73024,82.21424,309.17,0.4,0.37,n,2.0NRT,287.7,1.78,N,,2026-08-01 20:21:00
22.00468,82.67042,314.24,0.41,0.37,n,2.0NRT,284.48,1.63,N,,2026-08-01 20:21:00
22.31705,82.53432,296.12,0.41,0.37,n,2.0NRT,263.96,0.25,N,,2026-08-01 20:21:00
22.31848,82.56682,298.12,0.41,0.37,n,2.0NRT,265.7,0.47,N,,2026-08-01 20:21:00
22.31914,82.56291,301.39,0.41,0.37,n,2.0NRT,264.62,0.57,N,,2026-08-01 20:21:00
22.32185,82.56748,295.04,0.41,0.37,n,2.0NRT,264.36,0.47,N,,2026-08-01 20:21:00
22.32251,82.56358,295.39,0.41,0.37,n,2.0NRT,264.03,0.57,N,,2026-08-01 20:21:00
22.32516,82.54797,298.63,0.41,0.37,n,2.0NRT,263.97,0.87,N,,2026-08-01 20:21:00
22.33272,82.60599,299.53,0.41,0.37,n,2.0NRT,266.67,0.4,N,,2026-08-01 20:21:00
22.35636,82.30221,309.28,0.4,0.37,n,2.0NRT,269.98,1.97,N,,2026-08-01 20:21:00
22.3597,82.30285,323.6,0.4,0.37,n,2.0NRT,271.24,1.97,N,,2026-08-01 20:21:00
19.10179,82.16485,330.28,0.5,0.41,n,2.0NRT,295.46,4.25,D,,2026-08-02 07:31:00
22.35936,82.30412,339.68,0.45,0.39,n,2.0NRT,297.18,5.03,D,,2026-08-02 07:33:00
21.80086,82.03843,295.04,0.46,0.39,n,2.0NRT,267.21,0.33,N,,2026-08-02 20:02:00
21.80234,82.0415,295.24,0.46,0.39,n,2.0NRT,266.51,0.49,N,,2026-08-02 20:02:00
17.95569,80.79449,308.13,0.48,0.4,n,2.0NRT,291.68,2.12,N,,2026-08-02 20:04:00
17.9686,83.15366,310.1,0.4,0.37,n,2.0NRT,293.63,1.68,N,,2026-08-02 20:04:00
18.54154,83.34146,306.89,0.39,0.37,n,2.0NRT,292.72,1.83,N,,2026-08-02 20:04:00
19.09676,82.16548,312.61,0.43,0.38,n,2.0NRT,289.43,2.43,N,,2026-08-02 20:04:00
19.10023,82.16604,309.56,0.43,0.38,n,2.0NRT,289.36,1.3,N,,2026-08-02 20:04:00
19.10312,82.17064,305.19,0.43,0.38,n,2.0NRT,290.38,1.3,N,,2026-08-02 20:04:00
19.10371,82.16659,333.8,0.43,0.38,n,2.0NRT,291.08,1.3,N,,2026-08-02 20:04:00
17.95611,80.79485,326.53,0.4,0.44,n,2.0NRT,288.87,2.49,D,,2026-08-05 08:16:00
21.75876,84.02281,311.01,0.34,0.56,n,2.0NRT,286.98,2.87,N,,2026-08-09 19:32:00
21.76072,83.84116,303.05,0.35,0.57,n,2.0NRT,285.52,0.69,N,,2026-08-09 19:32:00
21.76504,83.84802,311.47,0.35,0.57,n,2.0NRT,285.85,2.59,N,,2026-08-09 19:32:00
21.7653,83.84863,312.51,0.35,0.57,n,2.0NRT,285.73,1.95,N,,2026-08-09 19:32:00
21.9717,83.19962,301.17,0.39,0.59,n,2.0NRT,286.11,0.89,N,,2026-08-09 19:32:00
22.004,82.66974,314.99,0.42,0.61,n,2.0NRT,286.68,1.9,N,,2026-08-09 19:32:00
22.06671,83.70587,302.74,0.36,0.58,n,2.0NRT,286.35,0.77,N,,2026-08-09 19:32:00
21.5029,81.81057,298.76,0.34,0.56,n,2.0NRT,283.39,1.31,N,,2026-08-10 20:51:00
17.95493,80.79514,330.24,0.42,0.38,n,2.0NRT,297.51,4.55,D,,2026-08-11 08:05:00
22.35736,82.30417,338.94,0.55,0.43,n,2.0NRT,294.1,6.84,D,,2026-08-11 08:07:00
17.95876,80.79718,309.9,0.52,0.42,n,2.0NRT,292.35,2.29,N,,2026-08-11 20:34:00
17.95963,80.79234,310.82,0.52,0.42,n,2.0NRT,291.78,2.29,N,,2026-08-11 20:34:00
19.10163,82.17058,303.57,0.4,0.44,n,2.0NRT,289.52,0.72,N,,2026-08-11 20:34:00
21.96473,83.7708,299.18,0.44,0.46,n,2.0NRT,278.46,1.31,N,,2026-08-11 20:34:00
18.08656,81.24291,335.15,0.41,0.37,n,2.0NRT,289.21,39.17,D,,2026-08-12 07:46:00
21.67827,84.03967,331.58,0.4,0.37,n,2.0NRT,290.3,3.11,D,,2026-08-12 07:46:00
21.74458,83.84264,341.87,0.4,0.37,n,2.0NRT,296.36,4.97,D,,2026-08-12 07:46:00
21.74793,83.8421,345.22,0.4,0.37,n,2.0NRT,295.9,11.51,D,,2026-08-12 07:46:00
21.75521,83.84486,343.61,0.4,0.37,n,2.0NRT,296.36,7.93,D,,2026-08-12 07:46:00
21.76248,83.8476,331.66,0.4,0.37,n,2.0NRT,295.62,4.06,D,,2026-08-12 07:46:00
21.92081,83.35064,346.59,0.39,0.36,n,2.0NRT,298.87,6.75,D,,2026-08-12 07:46:00
22.35893,82.30504,333.67,0.38,0.36,n,2.0NRT,296.06,6.54,D,,2026-08-12 07:46:00
21.18085,81.37692,303.51,0.39,0.36,n,2.0NRT,287.71,0.96,N,,2026-08-12 20:17:00
21.18358,81.3812,311.86,0.39,0.36,n,2.0NRT,289.77,0.96,N,,2026-08-12 20:17:00
21.18847,81.39343,306.85,0.39,0.36,n,2.0NRT,290.45,1.17,N,,2026-08-12 20:17:00
21.1945,81.39828,317.88,0.39,0.36,n,2.0NRT,289.66,2.1,N,,2026-08-12 20:17:00
21.21967,81.39117,307.04,0.39,0.36,n,2.0NRT,289.54,0.82,N,,2026-08-12 20:17:00
21.2455,81.77003,307.98,0.38,0.36,n,2.0NRT,289.21,1.85,N,,2026-08-12 20:17:00
21.29379,81.59311,305.98,0.39,0.36,n,2.0NRT,287.1,0.81,N,,2026-08-12 20:17:00
21.31084,81.59235,309.73,0.39,0.36,n,2.0NRT,287.69,1.27,N,,2026-08-12 20:17:00
21.91678,83.35397,300.5,0.39,0.36,n,2.0NRT,272.91,0.45,N,,2026-08-12 20:17:00
21.92072,83.35084,327.23,0.39,0.36,n,2.0NRT,274.68,2.05,N,,2026-08-12 20:17:00
21.92404,83.35147,309.96,0.39,0.36,n,2.0NRT,273.67,2.05,N,,2026-08-12 20:17:00
21.92591,83.34019,309.86,0.39,0.36,n,2.0NRT,273.82,1.13,N,,2026-08-12 20:17:00
21.98617,82.01643,300.01,0.38,0.36,n,2.0NRT,280.39,0.58,N,,2026-08-12 20:17:00
22.03967,83.35366,301.84,0.39,0.36,n,2.0NRT,278.65,1.25,N,,2026-08-12 20:17:00
22.04029,83.3499,304.76,0.39,0.36,n,2.0NRT,277.92,0.99,N,,2026-08-12 20:17:00
22.08837,83.11952,312.44,0.39,0.36,n,2.0NRT,286.71,1.96,N,,2026-08-12 20:17:00
22.3556,82.30254,305.44,0.38,0.36,n,2.0NRT,277.28,1.44,N,,2026-08-12 20:17:00
22.35889,82.30314,320.33,0.38,0.36,n,2.0NRT,276.69,1.44,N,,2026-08-12 20:17:00
21.37745,81.64008,295.18,0.38,0.59,n,2.0NRT,271.24,1.24,N,,2026-08-14 19:38:00
21.75551,84.02298,307.28,0.43,0.62,n,2.0NRT,285.65,2.89,N,,2026-08-20 19:25:00
21.75726,84.02222,306.22,0.44,0.62,n,2.0NRT,284.72,2.91,N,,2026-08-20 19:25:00
21.9578,83.80929,296.81,0.45,0.63,n,2.0NRT,280.96,1.43,N,,2026-08-20 19:25:00
21.75515,83.8454,296.76,0.55,0.43,n,2.0NRT,282.97,1.12,N,,2026-08-22 20:27:00
21.92231,83.34942,303.87,0.51,0.41,n,2.0NRT,283.87,1.9,N,,2026-08-22 20:27:00
22.00303,82.67159,297.66,0.48,0.4,n,2.0NRT,273.93,0.95,N,,2026-08-22 20:27:00
22.00384,82.66708,303.09,0.48,0.4,n,2.0NRT,276.74,1.15,N,,2026-08-22 20:27:00
22.01529,83.75329,305.48,0.54,0.42,n,2.0NRT,286.03,1.78,N,,2026-08-22 20:27:00
22.32,82.56749,298.3,0.47,0.39,n,2.0NRT,270.71,0.68,N,,2026-08-22 20:27:00
22.3208,82.56306,301.62,0.47,0.39,n,2.0NRT,271.16,0.68,N,,2026-08-22 20:27:00
21.19596,81.41667,327.82,0.5,0.66,n,2.0NRT,281.6,2.93,N,,2026-08-25 19:32:00
21.19639,81.41189,307.28,0.5,0.66,n,2.0NRT,281.28,2.93,N,,2026-08-25 19:32:00
21.37752,81.67648,303.65,0.48,0.65,n,2.0NRT,277.68,1.85,N,,2026-08-25 19:32:00
21.39248,81.64462,301.02,0.48,0.65,n,2.0NRT,277.24,0.73,N,,2026-08-25 19:32:00
21.74762,83.84057,298.87,0.35,0.57,n,2.0NRT,279.45,0.68,N,,2026-08-25 19:32:00
21.18221,81.38339,302.23,0.65,0.73,n,2.0NRT,282.69,3.38,N,,2026-08-25 21:12:00
17.95897,80.78802,301.14,0.7,0.75,n,2.0NRT,282.43,3.86,N,,2026-08-25 21:14:00
17.95949,80.79189,304.32,0.7,0.75,n,2.0NRT,282.64,2.56,N,,2026-08-25 21:14:00
21.74298,83.84299,346.9,0.45,0.63,n,2.0NRT,287.63,11.6,D,,2026-08-26 08:24:00
21.74881,83.84253,346.63,0.45,0.63,n,2.0NRT,287.28,5.28,D,,2026-08-26 08:24:00
21.74921,83.84696,326.92,0.45,0.63,n,2.0NRT,286.66,5.28,D,,2026-08-26 08:24:00
21.75503,83.8465,334.17,0.45,0.63,n,2.0NRT,286.35,5.28,D,,2026-08-26 08:24:00
21.9208,83.35326,326.38,0.42,0.61,n,2.0NRT,277.14,2.84,D,,2026-08-26 08:24:00
22.35542,82.30332,334.63,0.36,0.58,n,2.0NRT,289.53,7.35,D,,2026-08-26 08:24:00
22.35975,82.30282,333.19,0.36,0.58,n,2.0NRT,286.99,8.21,D,,2026-08-26 08:24:00
17.95691,80.79494,321.04,0.52,0.42,n,2.0NRT,291.35,3.85,N,,2026-08-27 20:36:00
17.95779,80.79296,325.37,0.52,0.42,n,2.0NRT,291.51,2.27,N,,2026-08-27 20:36:00
17.95781,80.79008,305.78,0.52,0.42,n,2.0NRT,290.77,1.44,N,,2026-08-27 20:36:00
17.95866,80.7881,307.84,0.52,0.42,n,2.0NRT,291.04,2.27,N,,2026-08-27 20:36:00
17.9587,80.7852,305.22,0.52,0.42,n,2.0NRT,290.86,1.44,N,,2026-08-27 20:36:00
21.74363,83.84044,332.72,0.4,0.37,n,2.0NRT,291.66,5.74,D,,2026-08-28 07:46:00
21.74418,83.84429,334.37,0.4,0.37,n,2.0NRT,290.9,5.74,D,,2026-08-28 07:46:00
21.74754,83.84375,344.84,0.4,0.37,n,2.0NRT,293.22,5.74,D,,2026-08-28 07:46:00
21.75426,83.84266,336.85,0.4,0.37,n,2.0NRT,291.59,4.53,D,,2026-08-28 07:46:00
21.76207,83.84924,333.38,0.4,0.37,n,2.0NRT,291.87,4.28,D,,2026-08-28 07:46:00
17.95662,80.79441,331.26,0.39,0.36,n,2.0NRT,289.65,3.13,N,,2026-08-28 20:17:00
17.95774,80.78719,307.39,0.39,0.36,n,2.0NRT,289.28,0.9,N,,2026-08-28 20:17:00
17.95593,80.79787,331.58,0.49,0.41,n,2.0NRT,293.05,5.56,D,,2026-09-01 08:09:00
17.96308,83.15963,306.04,0.39,0.37,n,2.0NRT,290.97,1.55,N,,2026-09-03 20:04:00
21.18786,81.39019,309.13,0.42,0.38,n,2,281.06,1.72,N,2.0,2025-09-04 20:21:00
21.19474,81.39155,300.61,0.42,0.38,n,2,280.29,0.78,N,2.0,2025-09-04 20:21:00
21.48748,81.76984,303.36,0.44,0.38,n,2,274.48,0.89,N,2.0,2025-09-04 20:21:00
19.09701,82.16916,310.47,0.48,0.4,n,2,279.59,2.38,N,2.0,2025-09-04 20:22:00
19.09719,82.16746,314.94,0.48,0.4,n,2,281.06,2.6,N,2.0,2025-09-04 20:22:00
19.10448,82.16891,304.63,0.48,0.4,n,2,285.13,1.86,N,2.0,2025-09-04 20:22:00
19.10529,82.1644,314.21,0.48,0.4,n,2,283.52,1.53,N,2.0,2025-09-04 20:22:00
22.03792,83.35181,330.57,0.39,0.36,n,2,296.99,4.72,D,2.0,2025-09-05 07:34:00
22.03896,83.73227,337.87,0.38,0.36,n,2,295.86,3.53,D,2.0,2025-09-05 07:34:00
22.03953,83.73595,331.56,0.38,0.36,n,2,296.93,3.53,D,2.0,2025-09-05 07:34:00
22.0401,83.73964,334.91,0.38,0.36,n,2,297.53,4.85,D,2.0,2025-09-05 07:34:00
22.04225,83.73167,333.6,0.38,0.36,n,2,296.03,3.53,D,2.0,2025-09-05 07:34:00
21.36116,81.65051,305.5,0.42,0.37,n,2,290.82,1.17,N,2.0,2025-09-05 20:02:00
21.36458,81.65108,307.94,0.42,0.37,n,2,291.16,1.17,N,2.0,2025-09-05 20:02:00
21.37657,81.6408,307.38,0.42,0.37,n,2,290.85,1.7,N,2.0,2025-09-05 20:02:00
21.3777,81.68182,319.4,0.41,0.37,n,2,292.04,3.41,N,2.0,2025-09-05 20:02:00
21.38969,81.64706,305.66,0.42,0.37,n,2,291.09,1.91,N,2.0,2025-09-05 20:02:00
21.48762,81.76804,315.17,0.41,0.37,n,2,291.34,2.05,N,2.0,2025-09-05 20:02:00
