cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv
0,86,2025-10-11 20:27:00,2026-08-01 07:52:00,21.30013488372093,81.60583081395349,9558.92250581318,man_made=works,9.766666666666667,8.805460750853241,1.2097674418604651,0.9975510917113746,0.8245808716568456
1,105,2025-09-12 19:31:00,2026-08-12 20:17:00,21.31116809523809,81.59012980952382,7821.134273444691,man_made=works,11.133333333333333,9.4311377245509,1.0622857142857143,0.6193067730300381,0.5829945415828761
2,348,2025-09-12 19:31:00,2026-08-25 19:32:00,21.37351172413793,81.6796589367816,6111.865796720737,landuse=industrial,11.566666666666666,30.086455331412104,1.7740229885057472,0.8504593907192234,0.47939592453396673
3,216,2025-09-13 20:53:00,2026-08-14 19:38:00,21.37309800925926,81.64323555555556,8138.863728779055,landuse=industrial,11.133333333333333,19.40119760479042,1.6212037037037037,0.6375165735630832,0.3932365637375806
4,107,2025-09-10 20:09:00,2026-08-25 19:32:00,21.38950364485981,81.64705420560747,6667.620530238904,landuse=industrial,11.6,9.224137931034482,1.5574766355140188,0.6283928188850582,0.4034685365778651
5,132,2025-09-04 20:21:00,2026-07-30 20:57:00,21.48775863636364,81.76802333333333,8102.816722236414,power=generator,10.966666666666669,12.036474164133738,1.6607575757575757,0.60800590245744,0.3661015378358822
6,61,2025-11-19 19:57:00,2026-08-01 20:21:00,21.62271573770492,81.79295803278688,22704.54364941904,power=generator,8.5,7.176470588235294,0.9642622950819673,0.3029106524834974,0.31413719485707825
7,137,2025-09-01 19:37:00,2026-08-01 20:21:00,21.67396364963504,82.07993664233577,31864.74179301669,landuse=industrial,11.133333333333333,12.305389221556888,1.6744525547445255,0.7885335605040658,0.47092021704035314
8,272,2025-10-11 20:27:00,2026-08-26 08:24:00,22.35903025735294,82.30251974264706,19512.287094944983,landuse=industrial,10.6,25.660377358490567,2.0945955882352942,1.5354352671030636,0.7330461668720855
9,506,2025-09-01 07:08:00,2026-08-28 07:46:00,21.747965,83.84321110671937,29648.07036668921,landuse=industrial,12.033333333333331,42.04986149584487,3.1896837944664034,2.818978801618502,0.8837800181036704
