cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio,industrial_score,wildfire_score,label
40,5,2026-01-12 19:45:00,2026-08-09 19:32:00,21.971846,83.20014,3563.3534865808024,landuse=industrial,6.933333333333334,0.7211538461538461,2.300770288858322,1.2165843033963173,0.5287726068472508,0,5,0.0,2,3,uncertain
41,102,2025-09-18 19:18:00,2026-08-09 19:32:00,22.066069607843136,83.70435509803923,2048.6332498862453,landuse=quarry,10.833333333333334,9.415384615384616,1.2377227722772275,0.6773785960423001,0.5472781233523103,0,102,0.0,2,1,uncertain
42,27,2026-02-14 19:27:00,2026-08-10 20:51:00,21.50192851851852,81.80917481481482,1185.6600595784582,landuse=industrial,5.9,4.576271186440677,1.037941176470588,0.4229175678098633,0.4074581271049973,0,27,0.0,2,2,uncertain
43,33,2025-09-05 20:03:00,2026-08-12 20:17:00,21.246028181818183,81.76971303030302,129.24669233835408,landuse=industrial,11.366666666666667,2.903225806451613,1.0724137931034483,0.3799591629599704,0.3543027564578502,0,33,0.0,4,3,uncertain
44,25,2025-09-25 20:27:00,2026-08-12 20:17:00,21.295054,81.593654,283.1435145161024,landuse=industrial,10.666666666666666,2.34375,0.6184615384615384,0.1683256916264967,0.2721684068587633,0,25,0.0,3,3,uncertain
45,31,2025-10-14 19:30:00,2026-08-12 20:17:00,21.98786612903225,82.01448451612903,1896.324690883316,landuse=quarry,10.066666666666666,3.0794701986754967,0.5888,0.1555184876469675,0.2641278662482466,0,31,0.0,2,2,uncertain
46,15,2025-11-13 20:09:00,2026-08-20 19:25:00,21.955196666666662,83.80623399999999,1960.934064481312,landuse=quarry,9.3,1.6129032258064515,1.7984615384615386,1.7748279078727895,0.9868589735819616,0,15,0.0,1,3,uncertain
47,163,2025-11-03 19:56:00,2026-08-22 20:27:00,22.018233680981595,83.75468067484663,1576.0674072201302,landuse=quarry,9.733333333333333,16.746575342465754,1.1277215189873415,0.5714577611128618,0.506736593645932,4,159,0.0245398773006134,3,1,uncertain
48,230,2025-09-05 20:02:00,2026-05-26 19:34:00,21.776756173913043,83.83016900000001,1082.61758697195,landuse=industrial,8.733333333333333,26.33587786259542,0.8816438356164383,0.3230970515470809,0.3664711740667636,4,226,0.017391304347826,4,1,uncertain
49,64,2025-09-05 20:02:00,2026-05-15 19:40:00,21.85925953125,83.96595828125,283.13638116888933,landuse=industrial,8.366666666666667,7.649402390438246,1.9120093457943923,1.3055638178738536,0.6828229269619098,0,64,0.0,2,1,uncertain
50,26,2025-09-05 20:02:00,2026-03-16 20:05:00,24.01109692307692,80.52913346153846,98.52883075705743,landuse=quarry,6.4,4.0625,1.1405555555555555,1.7242289281952663,1.5117447982228345,0,26,0.0,3,2,uncertain
51,14,2025-09-05 20:03:00,2026-03-26 20:18:00,21.240142857142853,81.38542357142856,282.91672613103526,industrial=factory,6.733333333333333,2.07920792079208,0.8321428571428572,0.2364295704833509,0.2841213722546706,0,14,0.0,3,3,uncertain
52,74,2025-09-06 19:43:00,2026-05-15 19:40:00,21.734110135135133,83.98107,634.5151755018087,landuse=quarry,8.333333333333334,8.879999999999999,0.3957142857142857,0.1330234494186573,0.3361603414911919,0,74,0.0,3,1,uncertain
53,58,2025-09-06 19:44:00,2026-05-12 20:37:00,21.214597931034483,82.13571103448277,13237.561298952744,landuse=industrial,8.266666666666667,7.016129032258064,1.2506060606060607,0.7027175355232957,0.5619015912834688,0,58,0.0,1,3,uncertain
54,13,2025-09-08 20:46:00,2026-04-22 20:12:00,21.543814615384616,81.94700538461538,292.3962598880361,landuse=industrial,7.5,1.7333333333333334,1.8621505376344087,1.192500888216209,0.6403890899879168,0,13,0.0,2,3,uncertain
55,30,2025-09-08 20:46:00,2026-04-23 19:53:00,21.80176433333333,83.88370233333333,1348.0411852764269,landuse=quarry,7.533333333333333,3.982300884955752,1.0541935483870968,0.7830657455954176,0.7428102237900228,0,30,0.0,1,2,uncertain
56,72,2025-09-08 20:46:00,2026-05-23 20:31:00,22.155892638888886,82.09389069444444,3628.8311402434856,landuse=industrial,8.533333333333333,8.4375,1.0275438596491229,0.3637713209350582,0.3540202372084398,0,72,0.0,2,1,uncertain
57,46,2025-09-18 20:58:00,2026-05-13 20:18:00,22.01848391304348,82.17913065217391,819.3704705940537,landuse=industrial,7.866666666666666,5.8474576271186445,2.131450381679389,1.7108167739584346,0.802653812006858,0,46,0.0,2,2,uncertain
58,103,2025-09-24 20:46:00,2026-05-15 19:40:00,21.750060970873783,83.81606980582524,2118.585370346623,landuse=quarry,7.733333333333333,13.31896551724138,1.1166666666666667,0.4629326804910909,0.4145665795442605,7,96,0.0679611650485436,3,1,uncertain
