cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio,label
0,86,2025-10-11 20:27:00,2026-08-01 07:52:00,21.30013488372093,81.60583081395349,9558.92250581318,man_made=works,9.766666666666667,8.805460750853241,1.2097674418604651,0.9975510917113746,0.8245808716568456,2,84,0.0232558139534883,uncertain
1,105,2025-09-12 19:31:00,2026-08-12 20:17:00,21.31116809523809,81.59012980952382,7821.134273444691,man_made=works,11.133333333333333,9.4311377245509,1.0622857142857145,0.6193067730300381,0.5829945415828761,0,105,0.0,uncertain
2,348,2025-09-12 19:31:00,2026-08-25 19:32:00,21.37351172413793,81.6796589367816,6111.865796720737,landuse=industrial,11.566666666666666,30.086455331412104,1.7740229885057472,0.8504593907192234,0.4793959245339667,0,348,0.0,industrial
3,216,2025-09-13 20:53:00,2026-08-14 19:38:00,21.37309800925926,81.64323555555556,8138.863728779055,landuse=industrial,11.133333333333333,19.40119760479042,1.6212037037037037,0.6375165735630832,0.3932365637375806,0,216,0.0,industrial
4,107,2025-09-10 20:09:00,2026-08-25 19:32:00,21.38950364485981,81.64705420560747,6667.620530238904,landuse=industrial,11.6,9.224137931034482,1.5574766355140188,0.6283928188850582,0.4034685365778651,0,107,0.0,uncertain
5,132,2025-09-04 20:21:00,2026-07-30 20:57:00,21.48775863636364,81.76802333333333,8102.816722236414,power=generator,10.966666666666669,12.036474164133738,1.6607575757575757,0.60800590245744,0.3661015378358822,0,132,0.0,uncertain
6,61,2025-11-19 19:57:00,2026-08-01 20:21:00,21.62271573770492,81.79295803278688,22704.54364941904,power=generator,8.5,7.176470588235294,0.9642622950819671,0.3029106524834974,0.3141371948570782,0,61,0.0,uncertain
7,137,2025-09-01 19:37:00,2026-08-01 20:21:00,21.67396364963504,82.07993664233577,31864.74179301669,landuse=industrial,11.133333333333333,12.305389221556888,1.6744525547445257,0.7885335605040658,0.4709202170403531,0,137,0.0,uncertain
8,272,2025-10-11 20:27:00,2026-08-26 08:24:00,22.35903025735294,82.30251974264706,19512.287094944983,landuse=industrial,10.6,25.660377358490567,2.0945955882352942,1.5354352671030636,0.7330461668720855,20,252,0.0735294117647058,uncertain
9,506,2025-09-01 07:08:00,2026-08-28 07:46:00,21.747965,83.84321110671937,29648.07036668921,landuse=industrial,12.033333333333331,42.04986149584487,3.189683794466404,2.818978801618502,0.8837800181036704,89,417,0.1758893280632411,uncertain
10,164,2025-09-01 19:37:00,2026-07-29 19:38:00,21.98495646341464,83.23297554878049,2904.801377502208,man_made=kiln,11.033333333333331,14.86404833836858,1.5429268292682927,0.944088469137285,0.6118815560327012,2,162,0.0121951219512195,uncertain
11,248,2025-09-13 20:52:00,2026-08-22 20:27:00,22.005290927419352,82.66923274193549,25366.951025144383,power=generator,11.4,21.75438596491228,1.965120967741936,1.0468924447982126,0.5327368960910162,4,244,0.0161290322580645,uncertain
12,478,2025-09-01 19:37:00,2026-08-12 20:17:00,22.0363859414226,83.35570451882845,1094.685039009772,landuse=industrial,11.5,41.56521739130435,1.723598326359833,0.9471090414694876,0.5494952199621487,13,465,0.0271966527196652,industrial
13,482,2025-10-10 20:46:00,2026-08-22 20:27:00,22.31689147302905,82.5317620539419,2383.347809785116,landuse=industrial,10.5,45.90476190476191,1.7666804979253112,1.0490553009852834,0.593800238479586,12,470,0.0248962655601659,industrial
14,140,2025-08-31 19:56:00,2026-08-01 20:21:00,22.33174192857143,82.60500714285713,8030.805873275101,landuse=industrial,11.166666666666666,12.537313432835822,1.7755714285714286,1.10041605697953,0.6197531900278953,11,129,0.0785714285714285,uncertain
15,26,2025-11-19 19:57:00,2026-07-11 20:14:00,22.331736153846155,82.5321746153846,793.2503365191167,landuse=industrial,7.8,3.333333333333333,0.925,0.3638818489564985,0.393385782655674,0,26,0.0,uncertain
16,688,2025-08-31 19:56:00,2026-08-01 20:19:00,23.16630988372093,82.33861888081395,72580.005307312,man_made=kiln,11.166666666666666,61.61194029850746,3.062936046511628,1.89588164294488,0.6189752623480649,135,553,0.1962209302325581,uncertain
17,41,2025-10-11 20:26:00,2026-07-11 20:14:00,24.05375,80.61308829268293,250750.6187116413,landuse=industrial,9.066666666666666,4.522058823529412,1.057560975609756,0.2854013006960977,0.2698674660641145,0,41,0.0,uncertain
18,113,2025-10-03 19:38:00,2026-08-28 20:17:00,17.956811769911504,80.78791256637169,176833.03669749098,landuse=industrial,10.966666666666669,10.303951367781156,2.1223008849557523,1.5270092202275412,0.7195064710437501,10,103,0.0884955752212389,uncertain
19,428,2025-09-04 20:22:00,2026-08-11 20:34:00,19.09995551401869,82.16712502336449,1274.6260329538152,landuse=industrial,11.366666666666667,37.65395894428152,2.2970093457943928,1.419880731840706,0.6181432106231407,62,366,0.1448598130841121,uncertain
