zone_id,centroid_lat,centroid_lon,log_mean,log_std,detection_count
0,21.30026111111111,81.60563848484848,-0.10916522136488045,0.4538459261575583,99
1,21.31082025423729,81.58985593220338,-0.041630592960989754,0.4183928810408625,118
2,21.373338691588785,81.67946077881619,0.513736355109259,0.40720531604316723,321
3,21.372502373737372,81.64356292929293,0.4140555716916731,0.384557969848043,198
4,21.390171333333335,81.64607695238095,0.3102206286846953,0.3635247722369421,105
5,21.487885401459852,81.76801649635036,0.4526706359391653,0.3956339937045908,137
6,21.622910344827584,81.79291172413792,-0.14828894572461157,0.3914161689799861,58
7,21.67398962962963,82.0801782962963,0.40603082004890695,0.41703163293471035,135
8,22.358975637065637,82.30242934362934,0.49980725178931096,0.4701092293279887,259
9,21.74837098630137,83.84266369863013,0.6362534920930514,0.6971925066064066,365
10,21.985157857142855,83.23270227272727,0.38287382576523654,0.3880113355772135,154
11,22.005413797468357,82.66912383966245,0.4509696081943136,0.4222078928483704,237
12,22.036189574898785,83.35589008097166,0.4123951109266427,0.4287278879411674,494
13,22.31653164490862,82.52712869451697,0.39711641452386404,0.48135922242759577,383
14,22.316249714285714,82.55855228571428,0.20145496989426392,0.5736041583946895,35
15,22.331695267175572,82.60482167938932,0.36966819065356554,0.5391367052717015,131
16,23.166517779922778,82.33807793436293,0.8014565815286318,0.5312753039916199,518
17,24.05364717948718,80.61300282051282,-3.460677511517118e-05,0.3073279860344931,39
18,17.957830634920633,80.78424968253968,0.4312497644218419,0.4755625006364263,63
19,19.09996943902439,82.16688380487804,0.5470326775502665,0.4317225058066578,410
20,21.195782142857144,81.415965,0.7780307781072758,0.7346960694203233,56
21,21.802406739130436,82.03904565217391,0.19743934348226122,0.4107494344227834,92
22,21.940006216216215,81.9812464864865,-0.2988952612017483,0.2846723627278603,37
23,21.186362984615386,81.38748424615385,0.7078633977481339,0.4417424334838297,325
24,21.87686951219512,83.4946618292683,0.05933429693816172,0.33432278067880183,82
25,21.879310479452055,83.5526709589041,0.11835452835625825,0.4246725327843886,146
26,21.922969141221373,83.34722969465649,0.8701961900266627,0.4684362252920127,524
27,21.679152188449848,84.03837267477203,0.6140110549232297,0.4702943386912991,329
28,21.34622225806452,81.66633703225807,0.17910774976805843,0.5527489536396487,155
29,22.041397335562987,83.73305138238574,1.087482763925558,0.6102758027018537,897
30,22.08807403508772,83.11661614035087,0.286691478740007,0.5416407473904529,114
31,21.73183189189189,82.21332324324325,0.13980240489830661,0.2936955069750976,74
32,21.763853969780218,84.02058324175825,0.6729270034426912,0.4218810601358493,728
33,22.066277676767676,83.70426808080809,-0.03232452907759215,0.4559950478372366,99
34,17.959003225806452,80.7983529032258,0.33928618770511576,0.4850318516486625,31
35,21.246028181818183,81.76971303030302,-0.12193172341886363,0.5686551661622635,33
36,22.018102193548387,83.75464374193548,0.38682237784207996,0.41093009343445486,155
37,21.77759843902439,83.83144248780488,0.4021975514529318,0.4198824575459955,205
38,21.734110135135133,83.98107,0.05605107880798959,0.43062211817818674,74
39,21.214597931034483,82.13571103448277,-0.03495377109618642,0.39931850589841367,58
40,22.155892638888886,82.09389069444444,-0.18730920540290033,0.306343617864017,72
41,22.01848391304348,82.17913065217391,-0.05729326236467388,0.3118725418676355,46
42,21.74805042857143,83.81525414285714,0.5384758113740251,0.49665970323707836,70
43,21.715336,84.040424,-0.37607275726540285,0.356535471400691,40
44,21.85925953125,83.96595828125,0.14825347528160623,0.3526870042161267,64
45,21.987866129032255,82.01448451612903,-0.5009032694782138,0.3659936964791915,31
46,21.84184864864865,83.98129081081082,-0.021097938584509333,0.24729426216772302,74
47,21.75048119047619,83.97437666666667,0.42636785004658984,0.5060824175859078,126
48,22.019103653846155,83.33757769230769,-0.11060799945646285,0.3418852480540723,52
49,21.82144831578947,83.99539547368421,0.10698868105612909,0.38271359882998834,95
50,21.458989487179487,81.80049282051282,-0.3236349127337017,0.395337908884826,39
51,22.32323656716418,82.58482582089552,0.20268060117366526,0.5084133341072916,67
52,21.560157894736843,81.75305289473685,0.0069959365029291275,0.39876402459919735,38
53,22.3367065,82.55385583333333,0.275754655242013,0.6540851907843533,60
54,22.333463289473684,82.57359368421052,0.5898084029754824,0.4863364197857262,76
55,23.065710000000003,83.04856566666668,0.1681461203665847,0.5268487503704992,30
