cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,industrial_count_5km,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio
0,106,2025-10-07 20:02:00,2026-08-01 07:52:00,21.30019339622641,81.60587896226414,1018.9570872640252,landuse=industrial,11,9.9,10.707070707070706,1.0672641509433962,0.8432652331083454,0.7901185778262585,2,104,0.018867924528301886
1,118,2025-09-18 20:59:00,2026-08-12 20:17:00,21.31082025423729,81.58985593220338,208.23247235936475,landuse=industrial,10,10.9,10.825688073394495,1.0485593220338982,0.5016950335684306,0.4784612782758815,0,118,0.0
2,323,2025-09-05 20:02:00,2026-08-25 19:32:00,21.373370092879256,81.67946736842106,128.72703657021975,landuse=industrial,11,11.766666666666667,27.450424929178467,1.831517027863777,0.813986350276133,0.4444328596963909,2,321,0.006191950464396285
3,344,2025-09-05 20:02:00,2026-08-25 19:32:00,21.378662209302323,81.6453633139535,989.2339488118924,landuse=industrial,8,11.766666666666667,29.23512747875354,1.5575,0.7043787453562331,0.4522495957343391,3,341,0.00872093023255814
4,140,2025-09-04 20:21:00,2026-07-30 20:57:00,21.48790521428572,81.7680635,65.77996021908898,landuse=industrial,6,10.966666666666669,12.76595744680851,1.6957857142857142,0.7027357310597772,0.4144012566798736,2,138,0.014285714285714285
5,58,2025-11-17 20:34:00,2026-08-01 20:21:00,21.622910344827584,81.79291172413792,1998.504939200432,landuse=quarry,1,8.533333333333333,6.796875,0.9258620689655171,0.3394062642618808,0.3665840470612493,0,58,0.0
6,135,2025-09-06 19:44:00,2026-08-01 20:21:00,21.67398962962963,82.0801782962963,432.2115118273528,landuse=industrial,2,10.966666666666669,12.310030395136778,1.6405185185185185,0.7390487214752535,0.4504970307452893,0,135,0.0
7,285,2025-10-17 20:14:00,2026-08-26 08:24:00,22.35891150877193,82.30257733333333,838.5432370396709,landuse=quarry,1,10.4,27.40384615384616,2.313122807017544,1.9728449828647536,0.8528924520909756,26,259,0.0912280701754386
8,452,2025-09-05 20:02:00,2026-08-28 07:46:00,21.748015486725663,83.84299966814159,694.7377199457256,landuse=quarry,8,11.866666666666667,38.08988764044944,3.283982300884956,2.78841976239315,0.8490970738915788,86,366,0.1902654867256637
9,157,2025-09-05 20:02:00,2026-07-29 19:38:00,21.985090509554137,83.23279356687898,185.05529583801243,landuse=industrial,4,10.866666666666667,14.447852760736197,1.616624203821656,0.7361016113492298,0.4553325439574054,2,155,0.012738853503184714
10,238,2025-09-05 20:02:00,2026-08-22 20:27:00,22.00540012605042,82.66913298319328,65.3352381102184,landuse=industrial,4,11.7,20.341880341880344,1.7247058823529413,0.7403954052854351,0.4292879225734105,1,237,0.004201680672268907
11,501,2025-09-05 07:34:00,2026-08-12 20:17:00,22.036216906187622,83.35584205588823,2663.4202039126103,landuse=industrial,7,11.366666666666667,44.07624633431085,1.6994810379241518,0.8326767260706402,0.4899594096605641,7,494,0.013972055888223553
12,475,2025-09-08 20:46:00,2026-08-22 20:27:00,22.31689644210526,82.53247810526317,1569.2983239816535,landuse=quarry,3,11.566666666666666,41.06628242074928,1.7110736842105263,0.9749624599730248,0.5697957188926457,12,463,0.02526315789473684
13,226,2025-09-05 20:02:00,2026-08-01 20:21:00,22.32849296460177,82.59804663716814,1773.9955650513264,landuse=quarry,2,11.0,20.545454545454547,1.8088053097345131,1.5414644947561729,0.8522003371288316,16,210,0.07079646017699115
14,25,2025-11-15 19:31:00,2026-07-11 20:14:00,22.3315904,82.532178,330.661975092005,landuse=quarry,4,7.933333333333334,3.1512605042016806,0.8395999999999999,0.2883932500365892,0.3434888637882197,0,25,0.0
15,679,2025-09-05 20:02:00,2026-08-01 20:19:00,23.16639468335788,82.33858649484536,1230.2128022002564,landuse=quarry,1,11.0,61.72727272727273,3.106170839469809,1.825132332124955,0.5875827269167482,149,530,0.21944035346097202
16,39,2025-09-05 20:02:00,2026-07-11 20:14:00,24.05364717948718,80.61300282051282,296.74352935746714,landuse=industrial,2,10.3,3.786407766990291,1.0451282051282051,0.2960162850683067,0.2832344238877322,0,39,0.0
17,105,2025-09-28 19:32:00,2026-09-01 08:09:00,17.957685047619048,80.78900057142857,1731.5975956290306,landuse=quarry,4,11.233333333333333,9.347181008902078,1.8377142857142856,1.116872571361362,0.6077509327992485,6,99,0.05714285714285714
18,467,2025-09-04 20:22:00,2026-08-11 20:34:00,19.09990119914347,82.16705094218416,190.24065815241465,industrial=steelmaking,2,11.366666666666667,41.0850439882698,2.2366381156316915,1.3700684656316742,0.6125570587643889,57,410,0.12205567451820129
19,67,2025-09-05 20:03:00,2026-08-25 19:32:00,21.19563582089552,81.4161876119403,1172.5516330907674,landuse=industrial,9,11.766666666666667,5.694050991501416,3.755373134328358,4.256536267321691,1.133452286914484,10,57,0.14925373134328357
20,92,2025-09-08 20:46:00,2026-08-02 20:02:00,21.80240673913044,82.03904565217391,9376.254613172665,landuse=industrial,0,10.9,8.440366972477063,1.3342391304347827,0.7396512895279334,0.5543618626197138,0,92,0.0
21,26,2025-10-25 19:25:00,2026-09-03 20:04:00,17.968154615384613,83.15393615384616,151.60967657466918,landuse=industrial,3,10.433333333333334,2.492012779552716,0.985,0.3423711436438533,0.3475849174049272,0,26,0.0
22,20,2025-11-13 20:09:00,2026-07-24 19:30:00,21.3235345,81.5779885,599.3262539707351,landuse=industrial,8,8.4,2.380952380952381,0.6775,0.2862989788021569,0.4225815185271689,0,20,0.0
